,,KNN,KNN_tl,KNN_tlsd,LR,LR_tl,LR_tlsd,XGB,XGB_tl,XGB_tlsd
f1,count,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f1,mean,0.7367522277147274,0.7232253335326189,0.6973475761742257,0.7254836130200788,0.7785591352586031,0.8076703563305221,0.9232958456462943,0.9496530730187631,0.9625529683250986
f1,std,,,,,,,,,
f1,min,0.7367522277147274,0.7232253335326189,0.6973475761742257,0.7254836130200788,0.7785591352586031,0.8076703563305221,0.9232958456462943,0.9496530730187631,0.9625529683250986
f1,25%,0.7367522277147274,0.7232253335326189,0.6973475761742257,0.7254836130200788,0.7785591352586031,0.8076703563305221,0.9232958456462943,0.9496530730187631,0.9625529683250986
f1,50%,0.7367522277147274,0.7232253335326189,0.6973475761742257,0.7254836130200788,0.7785591352586031,0.8076703563305221,0.9232958456462943,0.9496530730187631,0.9625529683250986
f1,75%,0.7367522277147274,0.7232253335326189,0.6973475761742257,0.7254836130200788,0.7785591352586031,0.8076703563305221,0.9232958456462943,0.9496530730187631,0.9625529683250986
f1,max,0.7367522277147274,0.7232253335326189,0.6973475761742257,0.7254836130200788,0.7785591352586031,0.8076703563305221,0.9232958456462943,0.9496530730187631,0.9625529683250986
acccuracy,count,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
acccuracy,mean,0.7519057005459203,0.7380422392520994,0.7144050574129351,0.7469389853078467,0.7970736094980306,0.8246314297819577,0.9311545132559299,0.9550563544872477,0.9667646488559303
acccuracy,std,,,,,,,,,
acccuracy,min,0.7519057005459203,0.7380422392520994,0.7144050574129351,0.7469389853078467,0.7970736094980306,0.8246314297819577,0.9311545132559299,0.9550563544872477,0.9667646488559303
acccuracy,25%,0.7519057005459203,0.7380422392520994,0.7144050574129351,0.7469389853078467,0.7970736094980306,0.8246314297819577,0.9311545132559299,0.9550563544872477,0.9667646488559303
acccuracy,50%,0.7519057005459203,0.7380422392520994,0.7144050574129351,0.7469389853078467,0.7970736094980306,0.8246314297819577,0.9311545132559299,0.9550563544872477,0.9667646488559303
acccuracy,75%,0.7519057005459203,0.7380422392520994,0.7144050574129351,0.7469389853078467,0.7970736094980306,0.8246314297819577,0.9311545132559299,0.9550563544872477,0.9667646488559303
acccuracy,max,0.7519057005459203,0.7380422392520994,0.7144050574129351,0.7469389853078467,0.7970736094980306,0.8246314297819577,0.9311545132559299,0.9550563544872477,0.9667646488559303
precision,count,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
precision,mean,0.7324952299064429,0.7201939680173354,0.6947533164727819,0.7205177809418867,0.772535529426286,0.8015956919570987,0.9193262528168546,0.9475744229730285,0.9630201729823605
precision,std,,,,,,,,,
precision,min,0.7324952299064429,0.7201939680173354,0.6947533164727819,0.7205177809418867,0.772535529426286,0.8015956919570987,0.9193262528168546,0.9475744229730285,0.9630201729823605
precision,25%,0.7324952299064429,0.7201939680173354,0.6947533164727819,0.7205177809418867,0.772535529426286,0.8015956919570987,0.9193262528168546,0.9475744229730285,0.9630201729823605
precision,50%,0.7324952299064429,0.7201939680173354,0.6947533164727819,0.7205177809418867,0.772535529426286,0.8015956919570987,0.9193262528168546,0.9475744229730285,0.9630201729823605
precision,75%,0.7324952299064429,0.7201939680173354,0.6947533164727819,0.7205177809418867,0.772535529426286,0.8015956919570987,0.9193262528168546,0.9475744229730285,0.9630201729823605
precision,max,0.7324952299064429,0.7201939680173354,0.6947533164727819,0.7205177809418867,0.772535529426286,0.8015956919570987,0.9193262528168546,0.9475744229730285,0.9630201729823605
recall,count,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
recall,mean,0.7561276626834514,0.74374910562999,0.7148692778236305,0.7356331301465218,0.7884698257791416,0.8165450249279378,0.9277489499506032,0.9518408254121473,0.9620905329955949
recall,std,,,,,,,,,
recall,min,0.7561276626834514,0.74374910562999,0.7148692778236305,0.7356331301465218,0.7884698257791416,0.8165450249279378,0.9277489499506032,0.9518408254121473,0.9620905329955949
recall,25%,0.7561276626834514,0.74374910562999,0.7148692778236305,0.7356331301465218,0.7884698257791416,0.8165450249279378,0.9277489499506032,0.9518408254121473,0.9620905329955949
recall,50%,0.7561276626834514,0.74374910562999,0.7148692778236305,0.7356331301465218,0.7884698257791416,0.8165450249279378,0.9277489499506032,0.9518408254121473,0.9620905329955949
recall,75%,0.7561276626834514,0.74374910562999,0.7148692778236305,0.7356331301465218,0.7884698257791416,0.8165450249279378,0.9277489499506032,0.9518408254121473,0.9620905329955949
recall,max,0.7561276626834514,0.74374910562999,0.7148692778236305,0.7356331301465218,0.7884698257791416,0.8165450249279378,0.9277489499506032,0.9518408254121473,0.9620905329955949
roc_auc,count,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
roc_auc,mean,0.7561276626834514,0.74374910562999,0.7148692778236306,0.7356331301465219,0.7884698257791416,0.8165450249279377,0.9277489499506032,0.9518408254121473,0.9620905329955949
roc_auc,std,,,,,,,,,
roc_auc,min,0.7561276626834514,0.74374910562999,0.7148692778236306,0.7356331301465219,0.7884698257791416,0.8165450249279377,0.9277489499506032,0.9518408254121473,0.9620905329955949
roc_auc,25%,0.7561276626834514,0.74374910562999,0.7148692778236306,0.7356331301465219,0.7884698257791416,0.8165450249279377,0.9277489499506032,0.9518408254121473,0.9620905329955949
roc_auc,50%,0.7561276626834514,0.74374910562999,0.7148692778236306,0.7356331301465219,0.7884698257791416,0.8165450249279377,0.9277489499506032,0.9518408254121473,0.9620905329955949
roc_auc,75%,0.7561276626834514,0.74374910562999,0.7148692778236306,0.7356331301465219,0.7884698257791416,0.8165450249279377,0.9277489499506032,0.9518408254121473,0.9620905329955949
roc_auc,max,0.7561276626834514,0.74374910562999,0.7148692778236306,0.7356331301465219,0.7884698257791416,0.8165450249279377,0.9277489499506032,0.9518408254121473,0.9620905329955949
